,UserID,party,country,start,end,term,Photo,Gender,Death,Twitter,Homepage,Facebook,Instagram,Mail,date_brith,place_brith,url,full,aliases
2362,37200,Sotsiaaldemokraatlik Erakond,Estonia,2014-04-07T00:00:00,2014-06-30T00:00:00,7.0,https://www.europarl.europa.eu/mepphoto/37200.jpg,F,,,,,,,1956-11-29T00:00:00,Tallinn,http://www.europarl.europa.eu/meps/en/37200/name/cv,Katrin SAKS,"['Katrin SAKS', 'SAKS', 'SAKS Katrin']"
2363,28281,Lietuvos socialdemokratų partija,Lithuania,2004-07-20T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/28281.jpg,M,,,,,,,1931-07-06T00:00:00,Anykščiai,http://www.europarl.europa.eu/meps/en/28281/name/cv,Aloyzas SAKALAS,"['Aloyzas SAKALAS', 'SAKALAS', 'SAKALAS Aloyzas']"
2364,1249,Sozialdemokratische Partei Deutschlands,Germany,1984-07-24T00:00:00,1989-07-24T00:00:00,2.0,https://www.europarl.europa.eu/mepphoto/1249.jpg,M,,,,,,,1939-11-12T00:00:00,Athen,http://www.europarl.europa.eu/meps/en/1249/name/cv,Jannis SAKELLARIOU,"['Janis Sakellariou', 'Jannis SAKELLARIOU', 'SAKELLARIOU', 'SAKELLARIOU Jannis']"
2365,1249,Sozialdemokratische Partei Deutschlands,Germany,1989-07-25T00:00:00,1994-07-18T00:00:00,3.0,https://www.europarl.europa.eu/mepphoto/1249.jpg,M,,,,,,,1939-11-12T00:00:00,Athen,http://www.europarl.europa.eu/meps/en/1249/name/cv,Jannis SAKELLARIOU,"['Janis Sakellariou', 'Jannis SAKELLARIOU', 'SAKELLARIOU', 'SAKELLARIOU Jannis']"
2366,1249,Sozialdemokratische Partei Deutschlands,Germany,1994-07-19T00:00:00,1999-07-19T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/1249.jpg,M,,,,,,,1939-11-12T00:00:00,Athen,http://www.europarl.europa.eu/meps/en/1249/name/cv,Jannis SAKELLARIOU,"['Janis Sakellariou', 'Jannis SAKELLARIOU', 'SAKELLARIOU', 'SAKELLARIOU Jannis']"
2367,1249,Sozialdemokratische Partei Deutschlands,Germany,1999-07-20T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/1249.jpg,M,,,,,,,1939-11-12T00:00:00,Athen,http://www.europarl.europa.eu/meps/en/1249/name/cv,Jannis SAKELLARIOU,"['Janis Sakellariou', 'Jannis SAKELLARIOU', 'SAKELLARIOU', 'SAKELLARIOU Jannis']"
2368,1121,Partido Social Democrata,Portugal,1989-07-25T00:00:00,1994-07-18T00:00:00,3.0,https://www.europarl.europa.eu/mepphoto/1121.jpg,F,,,,,,,1954-01-19T00:00:00,Lisboa,http://www.europarl.europa.eu/meps/en/1121/name/cv,Margarida SALEMA O. MARTINS,"['Margarida SALEMA O. MARTINS', 'SALEMA O. MARTINS', 'SALEMA O. MARTINS Margarida']"
2369,28361,Partido Socialista Obrero Español,Spain,2004-07-20T00:00:00,2009-05-04T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/28361.jpg,F,,,,,,,1966-06-23T00:00:00,Níjar Almería,http://www.europarl.europa.eu/meps/en/28361/name/cv,María Isabel SALINAS GARCÍA,"['María Isabel SALINAS GARCÍA', 'SALINAS GARCÍA', 'SALINAS GARCÍA María Isabel']"
2370,1196,Sozialdemokratische Partei Deutschlands,Germany,1979-07-17T00:00:00,1984-07-23T00:00:00,1.0,https://www.europarl.europa.eu/mepphoto/1196.jpg,F,,,,,,,1941-08-14T00:00:00,Grevenbroich,http://www.europarl.europa.eu/meps/en/1196/name/cv,Heinke SALISCH,"['Heinke SALISCH', 'SALISCH', 'SALISCH Heinke']"
2371,1196,Sozialdemokratische Partei Deutschlands,Germany,1984-07-24T00:00:00,1989-07-24T00:00:00,2.0,https://www.europarl.europa.eu/mepphoto/1196.jpg,F,,,,,,,1941-08-14T00:00:00,Grevenbroich,http://www.europarl.europa.eu/meps/en/1196/name/cv,Heinke SALISCH,"['Heinke SALISCH', 'SALISCH', 'SALISCH Heinke']"
